"No.","Quantity","Comment","Designator","Footprint","Value","Manufacturer Part","Manufacturer","Supplier Part","Supplier"
"1","2","22pF","C1,C2","C0603","22pF","","","",""
"2","6","100nF","C3,C4,C5,C6,C7,C8","C0603","100nF","","","",""
"3","1","100uF","C9","CAP-TH_BD5.0-P2.00-D0.8-FD","100uF","EWH1CM101D11OT","AISHI(艾华集团)","C105312","LCSC"
"4","1","Library_MSX-CONNECTOR","CON1","Mis_huellas:CARTRIDGE_MSX","MSX-CONNECTOR","","","",""
"5","1","PZ254V-11-10P","H1","HDR-TH_10P-P2.54-V-M","","PZ254V-11-10P","XFCN(兴飞)","C492409","LCSC"
"6","1","10K","R1","R0603","10K","","","",""
"7","1","W27C512-45Z","U1","PDIP-28_L37.0-W13.5-P2.54-LS15.6-BL","","W27C512-45Z","Winbond(华邦)","C19311781","LCSC"
"8","1","SN74LS245N","U2","PDIP-20_L24.5-W6.4-P2.54-LS7.9-BL","","SN74LS245N","TI(德州仪器)","C352966","LCSC"
"9","1","ATMEGA328P-PU","U3","DIP-28_L34.6-W7.3-P2.54-LS10.2-BL","","ATMEGA328P-PU","MICROCHIP(美国微芯)","C33901","LCSC"
"10","2","SN74LS138N","U4,U5","DIP-16_L19.8-W6.5-P2.54-LS7.6-BL","","SN74LS138N","TI(德州仪器)","C352964","LCSC"
"11","1","20MHz","X1","HC-49US_L11.5-W4.5-P4.88","20MHz","HC-49/U-S16000000ABJB","CITIZEN","","LCSC"
